Date/Time,Energy Produced (Wh)
2018-12-03 00:00:00 -0600,23330
2018-12-04 00:00:00 -0600,31099
2018-12-05 00:00:00 -0600,8892
2018-12-06 00:00:00 -0600,2437
2018-12-07 00:00:00 -0600,2336
2018-12-08 00:00:00 -0600,8971
2018-12-09 00:00:00 -0600,33508
2018-12-10 00:00:00 -0600,33184
2018-12-11 00:00:00 -0600,17367
2018-12-12 00:00:00 -0600,7820
2018-12-13 00:00:00 -0600,32056
2018-12-14 00:00:00 -0600,16745
2018-12-15 00:00:00 -0600,33582
2018-12-16 00:00:00 -0600,15777
2018-12-17 00:00:00 -0600,19772
2018-12-18 00:00:00 -0600,17715
2018-12-19 00:00:00 -0600,23745
2018-12-20 00:00:00 -0600,33486
2018-12-21 00:00:00 -0600,32538
2018-12-22 00:00:00 -0600,30708
2018-12-23 00:00:00 -0600,31883
2018-12-24 00:00:00 -0600,9987
2018-12-25 00:00:00 -0600,10002
2018-12-26 00:00:00 -0600,2132
2018-12-27 00:00:00 -0600,32796
2018-12-28 00:00:00 -0600,32903
2018-12-29 00:00:00 -0600,5316
2018-12-30 00:00:00 -0600,2078
2018-12-31 00:00:00 -0600,18806
2019-01-01 00:00:00 -0600,13590
2019-01-02 00:00:00 -0600,1547
2019-01-03 00:00:00 -0600,33096
2019-01-04 00:00:00 -0600,33714
2019-01-05 00:00:00 -0600,33408
2019-01-06 00:00:00 -0600,23778
2019-01-07 00:00:00 -0600,15447
2019-01-08 00:00:00 -0600,23856
2019-01-09 00:00:00 -0600,13892
2019-01-10 00:00:00 -0600,16048
2019-01-11 00:00:00 -0600,3008
2019-01-12 00:00:00 -0600,34621
2019-01-13 00:00:00 -0600,28345
2019-01-14 00:00:00 -0600,7154
2019-01-15 00:00:00 -0600,4826
2019-01-16 00:00:00 -0600,6329
2019-01-17 00:00:00 -0600,28029
2019-01-18 00:00:00 -0600,4070
2019-01-19 00:00:00 -0600,37001
2019-01-20 00:00:00 -0600,35260
2019-01-21 00:00:00 -0600,30265
2019-01-22 00:00:00 -0600,5702
2019-01-23 00:00:00 -0600,36837
2019-01-24 00:00:00 -0600,36952
2019-01-25 00:00:00 -0600,15471
2019-01-26 00:00:00 -0600,10707
2019-01-27 00:00:00 -0600,34439
2019-01-28 00:00:00 -0600,35424
2019-01-29 00:00:00 -0600,32120
2019-01-30 00:00:00 -0600,11410
2019-01-31 00:00:00 -0600,6733
2019-02-01 00:00:00 -0600,8560
2019-02-02 00:00:00 -0600,6589
2019-02-03 00:00:00 -0600,14039
2019-02-04 00:00:00 -0600,6200
2019-02-05 00:00:00 -0600,7466
2019-02-06 00:00:00 -0600,6389
2019-02-07 00:00:00 -0600,14713
2019-02-08 00:00:00 -0600,6629
2019-02-09 00:00:00 -0600,5446
2019-02-10 00:00:00 -0600,5451
2019-02-11 00:00:00 -0600,3780
2019-02-12 00:00:00 -0600,38649
2019-02-13 00:00:00 -0600,35489
2019-02-14 00:00:00 -0600,21132
2019-02-15 00:00:00 -0600,27822
2019-02-16 00:00:00 -0600,16666
2019-02-17 00:00:00 -0600,34055
2019-02-18 00:00:00 -0600,32207
2019-02-19 00:00:00 -0600,5745
2019-02-20 00:00:00 -0600,38810
2019-02-21 00:00:00 -0600,8766
2019-02-22 00:00:00 -0600,10512
2019-02-23 00:00:00 -0600,31396
2019-02-24 00:00:00 -0600,40487
2019-02-25 00:00:00 -0600,30127
2019-02-26 00:00:00 -0600,18025
2019-02-27 00:00:00 -0600,24994
2019-02-28 00:00:00 -0600,5434
2019-03-01 00:00:00 -0600,9181
2019-03-02 00:00:00 -0600,7162
2019-03-03 00:00:00 -0600,9742
2019-03-04 00:00:00 -0600,14398
2019-03-05 00:00:00 -0600,32157
2019-03-06 00:00:00 -0600,32807
2019-03-07 00:00:00 -0600,17323
2019-03-08 00:00:00 -0600,18969
2019-03-09 00:00:00 -0600,32042
2019-03-10 00:00:00 -0600,14167
2019-03-11 00:00:00 -0500,7995
2019-03-12 00:00:00 -0500,12489
2019-03-13 00:00:00 -0500,38430
2019-03-14 00:00:00 -0500,40181
2019-03-15 00:00:00 -0500,21459
2019-03-16 00:00:00 -0500,20437
2019-03-17 00:00:00 -0500,25453
2019-03-18 00:00:00 -0500,34166
2019-03-19 00:00:00 -0500,27493
2019-03-20 00:00:00 -0500,24556
2019-03-21 00:00:00 -0500,38655
2019-03-22 00:00:00 -0500,26016
2019-03-23 00:00:00 -0500,9773
2019-03-24 00:00:00 -0500,20328
2019-03-25 00:00:00 -0500,26473
2019-03-26 00:00:00 -0500,39863
2019-03-27 00:00:00 -0500,23597
2019-03-28 00:00:00 -0500,27573
2019-03-29 00:00:00 -0500,18167
2019-03-30 00:00:00 -0500,17179
2019-03-31 00:00:00 -0500,24988
2019-04-01 00:00:00 -0500,25851
2019-04-02 00:00:00 -0500,38805
2019-04-03 00:00:00 -0500,5952
2019-04-04 00:00:00 -0500,27791
2019-04-05 00:00:00 -0500,32664
2019-04-06 00:00:00 -0500,13440
2019-04-07 00:00:00 -0500,20438
2019-04-08 00:00:00 -0500,38795
2019-04-09 00:00:00 -0500,39138
2019-04-10 00:00:00 -0500,39694
2019-04-11 00:00:00 -0500,32476
2019-04-12 00:00:00 -0500,37893
2019-04-13 00:00:00 -0500,33326
2019-04-14 00:00:00 -0500,41711
2019-04-15 00:00:00 -0500,41109
2019-04-16 00:00:00 -0500,22128
2019-04-17 00:00:00 -0500,12310
2019-04-18 00:00:00 -0500,37369
2019-04-19 00:00:00 -0500,40980
2019-04-20 00:00:00 -0500,40559
2019-04-21 00:00:00 -0500,34252
2019-04-22 00:00:00 -0500,25760
2019-04-23 00:00:00 -0500,10518
2019-04-24 00:00:00 -0500,4230
2019-04-25 00:00:00 -0500,39942
2019-04-26 00:00:00 -0500,38691
2019-04-27 00:00:00 -0500,39653
2019-04-28 00:00:00 -0500,36958
2019-04-29 00:00:00 -0500,19734
2019-04-30 00:00:00 -0500,9440
2019-05-01 00:00:00 -0500,6642
2019-05-02 00:00:00 -0500,11338
2019-05-03 00:00:00 -0500,14890
2019-05-04 00:00:00 -0500,33310
2019-05-05 00:00:00 -0500,34559
2019-05-06 00:00:00 -0500,12182
2019-05-07 00:00:00 -0500,20852
2019-05-08 00:00:00 -0500,20491
2019-05-09 00:00:00 -0500,17662
2019-05-10 00:00:00 -0500,13293
2019-05-11 00:00:00 -0500,18266
2019-05-12 00:00:00 -0500,37204
2019-05-13 00:00:00 -0500,31176
2019-05-14 00:00:00 -0500,29923
2019-05-15 00:00:00 -0500,25576
2019-05-16 00:00:00 -0500,29880
2019-05-17 00:00:00 -0500,24401
2019-05-18 00:00:00 -0500,9207
2019-05-19 00:00:00 -0500,26184
2019-05-20 00:00:00 -0500,23477
2019-05-21 00:00:00 -0500,34709
2019-05-22 00:00:00 -0500,25981
2019-05-23 00:00:00 -0500,31337
2019-05-24 00:00:00 -0500,26246
2019-05-25 00:00:00 -0500,29375
2019-05-26 00:00:00 -0500,25121
2019-05-27 00:00:00 -0500,32005
2019-05-28 00:00:00 -0500,20342
2019-05-29 00:00:00 -0500,26231
2019-05-30 00:00:00 -0500,24357
2019-05-31 00:00:00 -0500,28837
2019-06-01 00:00:00 -0500,29742
2019-06-02 00:00:00 -0500,31038
2019-06-03 00:00:00 -0500,23834
2019-06-04 00:00:00 -0500,12780
2019-06-05 00:00:00 -0500,28166
2019-06-06 00:00:00 -0500,32890
2019-06-07 00:00:00 -0500,36452
2019-06-08 00:00:00 -0500,35829
2019-06-09 00:00:00 -0500,35661
2019-06-10 00:00:00 -0500,19929
2019-06-11 00:00:00 -0500,10875
2019-06-12 00:00:00 -0500,30237
2019-06-13 00:00:00 -0500,30113
2019-06-14 00:00:00 -0500,37001
2019-06-15 00:00:00 -0500,31468
2019-06-16 00:00:00 -0500,26370
2019-06-17 00:00:00 -0500,27697
2019-06-18 00:00:00 -0500,35215
2019-06-19 00:00:00 -0500,36058
2019-06-20 00:00:00 -0500,24674
2019-06-21 00:00:00 -0500,28441
2019-06-22 00:00:00 -0500,24578
2019-06-23 00:00:00 -0500,23298
2019-06-24 00:00:00 -0500,5265
2019-06-25 00:00:00 -0500,30811
2019-06-26 00:00:00 -0500,32608
2019-06-27 00:00:00 -0500,24826
2019-06-28 00:00:00 -0500,33129
2019-06-29 00:00:00 -0500,35966
2019-06-30 00:00:00 -0500,20304
2019-07-01 00:00:00 -0500,31930
2019-07-02 00:00:00 -0500,33666
2019-07-03 00:00:00 -0500,20694
2019-07-04 00:00:00 -0500,24127
2019-07-05 00:00:00 -0500,33546
2019-07-06 00:00:00 -0500,34195
2019-07-07 00:00:00 -0500,33816
2019-07-08 00:00:00 -0500,35160
2019-07-09 00:00:00 -0500,15125
2019-07-10 00:00:00 -0500,34989
2019-07-11 00:00:00 -0500,32362
2019-07-12 00:00:00 -0500,27852
2019-07-13 00:00:00 -0500,36289
2019-07-14 00:00:00 -0500,25652
2019-07-15 00:00:00 -0500,35405
2019-07-16 00:00:00 -0500,29474
2019-07-17 00:00:00 -0500,31682
2019-07-18 00:00:00 -0500,35918
2019-07-19 00:00:00 -0500,32742
2019-07-20 00:00:00 -0500,36434
2019-07-21 00:00:00 -0500,35009
2019-07-22 00:00:00 -0500,32103
2019-07-23 00:00:00 -0500,30003
2019-07-24 00:00:00 -0500,34637
2019-07-25 00:00:00 -0500,37429
2019-07-26 00:00:00 -0500,36577
2019-07-27 00:00:00 -0500,36411
2019-07-28 00:00:00 -0500,33342
2019-07-29 00:00:00 -0500,31742
2019-07-30 00:00:00 -0500,34150
2019-07-31 00:00:00 -0500,34929
2019-08-01 00:00:00 -0500,34570
2019-08-02 00:00:00 -0500,35580
2019-08-03 00:00:00 -0500,30854
2019-08-04 00:00:00 -0500,26453
2019-08-05 00:00:00 -0500,33375
2019-08-06 00:00:00 -0500,34944
2019-08-07 00:00:00 -0500,33215
2019-08-08 00:00:00 -0500,28991
2019-08-09 00:00:00 -0500,35851
2019-08-10 00:00:00 -0500,33561
2019-08-11 00:00:00 -0500,34007
2019-08-12 00:00:00 -0500,35193
2019-08-13 00:00:00 -0500,35808
2019-08-14 00:00:00 -0500,34484
2019-08-15 00:00:00 -0500,27218
2019-08-16 00:00:00 -0500,35701
2019-08-17 00:00:00 -0500,35842
2019-08-18 00:00:00 -0500,32959
2019-08-19 00:00:00 -0500,32607
2019-08-20 00:00:00 -0500,33096
2019-08-21 00:00:00 -0500,32421
2019-08-22 00:00:00 -0500,32139
2019-08-23 00:00:00 -0500,32850
2019-08-24 00:00:00 -0500,24034
2019-08-25 00:00:00 -0500,31292
2019-08-26 00:00:00 -0500,32699
2019-08-27 00:00:00 -0500,23322
2019-08-28 00:00:00 -0500,28407
2019-08-29 00:00:00 -0500,36426
2019-08-30 00:00:00 -0500,32617
2019-08-31 00:00:00 -0500,32331
2019-09-01 00:00:00 -0500,30403
2019-09-02 00:00:00 -0500,33002
2019-09-03 00:00:00 -0500,31327
2019-09-04 00:00:00 -0500,32042
2019-09-05 00:00:00 -0500,24077
2019-09-06 00:00:00 -0500,31559
2019-09-07 00:00:00 -0500,34671
2019-09-08 00:00:00 -0500,32009
2019-09-09 00:00:00 -0500,25805
2019-09-10 00:00:00 -0500,29537
2019-09-11 00:00:00 -0500,13431
2019-09-12 00:00:00 -0500,29709
2019-09-13 00:00:00 -0500,34117
2019-09-14 00:00:00 -0500,32716
2019-09-15 00:00:00 -0500,33276
2019-09-16 00:00:00 -0500,30398
2019-09-17 00:00:00 -0500,30911
2019-09-18 00:00:00 -0500,29505
2019-09-19 00:00:00 -0500,34129
2019-09-20 00:00:00 -0500,32858
2019-09-21 00:00:00 -0500,26056
2019-09-22 00:00:00 -0500,25541
2019-09-23 00:00:00 -0500,31337
2019-09-24 00:00:00 -0500,28851
2019-09-25 00:00:00 -0500,30659
2019-09-26 00:00:00 -0500,30613
2019-09-27 00:00:00 -0500,34289
2019-09-28 00:00:00 -0500,25640
2019-09-29 00:00:00 -0500,23081
2019-09-30 00:00:00 -0500,23446
2019-10-01 00:00:00 -0500,28936
2019-10-02 00:00:00 -0500,27988
2019-10-03 00:00:00 -0500,30570
2019-10-04 00:00:00 -0500,32498
2019-10-05 00:00:00 -0500,34866
2019-10-06 00:00:00 -0500,34127
2019-10-07 00:00:00 -0500,27649
2019-10-08 00:00:00 -0500,35213
2019-10-09 00:00:00 -0500,25064
2019-10-10 00:00:00 -0500,31175
2019-10-11 00:00:00 -0500,7276
2019-10-12 00:00:00 -0500,21448
2019-10-13 00:00:00 -0500,15737
2019-10-14 00:00:00 -0500,16356
2019-10-15 00:00:00 -0500,22887
2019-10-16 00:00:00 -0500,4916
2019-10-17 00:00:00 -0500,29449
2019-10-18 00:00:00 -0500,35737
2019-10-19 00:00:00 -0500,28279
2019-10-20 00:00:00 -0500,15718
2019-10-21 00:00:00 -0500,36577
2019-10-22 00:00:00 -0500,35983
2019-10-23 00:00:00 -0500,34843
2019-10-24 00:00:00 -0500,11609
2019-10-25 00:00:00 -0500,37989
2019-10-26 00:00:00 -0500,36872
2019-10-27 00:00:00 -0500,36336
2019-10-28 00:00:00 -0500,15234
2019-10-29 00:00:00 -0500,4572
2019-10-30 00:00:00 -0500,3350
2019-10-31 00:00:00 -0500,37826
2019-11-01 00:00:00 -0500,33492
Total,9138275
